
========================================
Start Time             : 2026-07-15T00:35:25.243569
========================================
80 | binarySearch | statement | 100.00% | 3.03ms | 177.17MB | 4 cases
47 | search | statement | 83.33% | 1.87ms | 122.69MB | 3 cases
11 | sort | statement | 81.82% | 4.22ms | 141.33MB | 2 cases
89 | selectionSort | statement | 92.86% | 11.76ms | 189.96MB | 2 cases

========================================
Start Time             : 2026-07-15T03:16:22.849851
========================================
49 | findNthCatalan | mcdc | 100.00% | 7.89ms | 118.24MB | 1 cases
3 | change | mcdc | 75.00% | 3.74ms | 126.66MB | 1 cases
4 | minimumCoins | mcdc | 83.33% | 13.92ms | 70.31MB | 1 cases
27 | convolution | mcdc | 100.00% | 21.25ms | 177.98MB | 1 cases
19 | correlation | mcdc | 75.00% | 4.30ms | 118.37MB | 1 cases
21 | countFriendsPairing | mcdc | 66.67% | 2.86ms | 220.87MB | 1 cases
15 | countNiceSubarrays | mcdc | 41.67% | 3.32ms | 164.25MB | 1 cases
9 | crossCorrelation | mcdc | 100.00% | 27.62ms | 128.52MB | 1 cases
78 | findMax | mcdc | 83.33% | 3.84ms | 231.21MB | 3 cases
91 | max | mcdc | 100.00% | 2.07ms | 182.66MB | 3 cases
87 | findMin | mcdc | 83.33% | 3.70ms | 144.84MB | 3 cases
67 | min | mcdc | 100.00% | 2.37ms | 105.29MB | 3 cases
93 | maxSum | mcdc | 75.00% | 4.91ms | 206.91MB | 2 cases
56 | find | mcdc | 50.00% | 6.00ms | 172.22MB | 6 cases
38 | compute | mcdc | 100.00% | 8.86ms | 160.55MB | 10 cases
33 | getLongestArithmeticSubsequenceLength | mcdc | 100.00% | 16.25ms | 149.24MB | 3 cases
6 | lowerBound | mcdc | 100.00% | 3.95ms | 138.86MB | 2 cases
76 | longestSubarrayWithSumLEK | mcdc | 83.33% | 4.95ms | 240.74MB | 1 cases
23 | maxProduct | mcdc | 87.50% | 6.13ms | 224.58MB | 4 cases
44 | getMaxSumApproach1 | mcdc | 100.00% | 4.54ms | 209.09MB | 2 cases
45 | getMaxSumApproach2 | mcdc | 100.00% | 7.57ms | 196.99MB | 2 cases
52 | maxSumKSizeSubarray | mcdc | 100.00% | 3.35ms | 191.28MB | 2 cases
71 | minimumWaitingTime | mcdc | 100.00% | 3.35ms | 191.94MB | 2 cases
13 | minSumKSizeSubarray | mcdc | 100.00% | 3.13ms | 201.33MB | 2 cases
54 | nthManShanksPrime | mcdc | 100.00% | 1.91ms | 187.38MB | 1 cases
35 | buildPrefixSum | mcdc | 100.00% | 2.74ms | 154.97MB | 2 cases
36 | sumRange | mcdc | 100.00% | 3.48ms | 142.67MB | 5 cases
25 | cutRod | mcdc | 100.00% | 10.33ms | 165.63MB | 4 cases
29 | stdDev | mcdc | 100.00% | 3.72ms | 181.24MB | 1 cases
82 | subsetSum | mcdc | 87.50% | 5.22ms | 189.85MB | 1 cases
69 | isSubsetSum | mcdc | 70.00% | 5.09ms | 198.46MB | 2 cases
31 | subsetSum | mcdc | 80.00% | 3.89ms | 205.40MB | 5 cases
42 | isPairedSum | mcdc | 87.50% | 5.69ms | 211.94MB | 3 cases
58 | wpRecursion | mcdc | 100.00% | 1.96ms | 213.49MB | 2 cases
59 | wptd | mcdc | 0.00% | 0.00ms | 217.43MB | 0 cases
60 | wpbu | mcdc | 100.00% | 24.20ms | 189.79MB | 3 cases
61 | isPalindrome | mcdc | 87.50% | 4.08ms | 240.06MB | 4 cases
84 | bubbleSort | mcdc | 75.00% | 4.68ms | 206.02MB | 3 cases
80 | binarySearch | mcdc | 100.00% | 3.46ms | 229.16MB | 4 cases
47 | search | mcdc | 75.00% | 2.04ms | 219.74MB | 3 cases
11 | sort | mcdc | 66.67% | 5.13ms | 213.13MB | 2 cases
89 | selectionSort | mcdc | 83.33% | 11.98ms | 211.37MB | 2 cases

========================================
Start Time             : 2026-07-15T03:29:05.512580
========================================
92 | encode | statement | 100.00% | 5.86ms | 120.11MB | 2 cases
118 | arrange | statement | 100.00% | 6.67ms | 135.19MB | 4 cases
31 | areAnagramsByCountingCharsSingleArray | statement | 85.71% | 30.22ms | 94.92MB | 2 cases
33 | areAnagramsBySingleFreqArray | statement | 78.57% | 29.57ms | 105.49MB | 2 cases
20 | isAllCharactersSame | statement | 100.00% | 4.42ms | 141.39MB | 4 cases
122 | countCharacters | statement | 100.00% | 11.44ms | 106.61MB | 2 cases
79 | wordCount | statement | 100.00% | 11.35ms | 208.78MB | 2 cases
114 | calculateHammingDistance | statement | 100.00% | 5.11ms | 174.62MB | 4 cases
12 | charEquals | statement | 100.00% | 1.27ms | 152.64MB | 2 cases
76 | isAlphabeticIsogram | statement | 42.11% | 23.70ms | 147.82MB | 1 cases
54 | kasai | statement | 70.00% | 2.50ms | 172.13MB | 2 cases
108 | computePrefixFunction | statement | 84.62% | 4.23ms | 221.71MB | 2 cases
56 | lengthOfLastWord | statement | 100.00% | 2.97ms | 141.24MB | 2 cases
41 | toLowerCase | statement | 100.00% | 2.89ms | 243.45MB | 1 cases
59 | preprocess | statement | 100.00% | 3.83ms | 219.29MB | 3 cases
127 | myAtoi | statement | 53.85% | 4.39ms | 160.99MB | 3 cases
111 | isPalindromeRecursion | statement | 100.00% | 2.25ms | 196.14MB | 3 cases
112 | isPalindromeTwoPointer | statement | 100.00% | 2.56ms | 187.82MB | 3 cases
65 | reverseStringUsingRecursion | statement | 100.00% | 26.80ms | 156.16MB | 2 cases
49 | compress | statement | 100.00% | 52.20ms | 159.17MB | 3 cases
50 | appendCount | statement | 100.00% | 55.00ms | 186.49MB | 2 cases
